brandname,keywords,keywords_orig
AllState,(allstate) OR (mayhem) OR (mayhemlikeme) OR (parkinggaragearm) OR (parkinggate) OR (smashingcar),"all state, mayhem, parking gate, mayhem, allstate, mayhem, mayhem like me, parking gate, parking garage arm, parking gate, mayhem, smashing car"
America First Credit Union,(5dollarbill) OR (abelincoln) OR (americafirst) OR (bringovermoremoneyfriends) OR (fivedollarbill) OR (teenager),"5 dollar bill, america first, teenager, five dollar bill, bring over more money friends, abe lincoln"
Apple Music,(aliciakeys) OR (applemusic) OR (halftimeshow) OR (ludacris) OR (usher),"apple music, ludacris, yeah!, alicia keys, usher, usher, applemusic, halftimeshow, usher"
Apartments.com,(alienapartments) OR (alieninvasion) OR (aliens) OR (apartmentscom) OR (apocalypsealiens) OR (bradbellflower) OR (extraterrestrialbuzz) OR (jeffgoldblum) OR (jeffgoldblumaliens) OR (placetofindaplace) OR (theplacetofindaplace),"jeff goldblum, alien apartments, extraterrestrial buzz, apartments.com, the place to find a place, apartments.com, jeff goldblum, jeff goldblum aliens, place to find a place, apartments.com, aliens, alien invasion, jeff goldblum, brad bellflower, apocalypse aliens, jeff goldblum, aliens, jeffgoldblum, jeff goldblum, makeitonebedroom, ailen, alien apartments, aliens, place to find a place"
Bass Pro Shops and Cabela's,(5perday) OR (americasbestoutdoorretailer) OR (bassproshop) OR (bassproshopad) OR (bassproshopbiggame) OR (boat) OR (clarencejones) OR (conservation) OR (makingmemoriesonthewater) OR (standuptoallhate) OR (standuptojewishhate) OR (tracker) OR (trackerboat) OR (water),"conservation, stand up to all hate, making memories on the water, water, clarence jones, americas best outdoor retailer, boat, stand up to jewish hate, bass pro shop big game, tracker, tracker boat, $5perday, bassproshopad, boat, bassproshop, cabela's, bass, best outdoor retailer, outdoors, bass pro shops, water"
BetMgM,(betmgm) OR (excepttombrady) OR (hotdogsuperbowl) OR (tombrady) OR (utahyouwonenough) OR (vincevaughnbetmgm) OR (waynegretzky) OR (waynegretzkybetmgm) OR (yourein),"wayne gretzky, tom brady, hotdogsuperbowl, except tom brady, betmgm, tom brady, you're in, betmgm, wayne gretzky betmgm, tom brady, utahyouwonenough, betmgm, tombrady, vince vaughn betmgm, wayne gretzky, tom brady, mgm grand, bet"
BMW,(ashleypark) OR (bmw) OR (christopherwalken) OR (christopherwalkin) OR (chriswalken) OR (itistherealdeal) OR (itstherealdeal) OR (realdeal) OR (talkinlikewalken) OR (usher),"its the real deal, christopher walken, christopher walken, real deal, chris walken, bmw, christopher walken, christopher walkin, it is the real deal, talkinâ€™ like walken, christopher walken, it's the real deal, ashley park, yeah, usher, electric, christopher walken bmw, talkin like walkin, there is only one christopher walken, christopher walken, usher, ultimatedrivingmachine, usher, christopher walken, impersonation, ultimate driving machine, electric bmw i5, bmw, did someone say yeah, usher and walken"
Booking.com,(bookingcom) OR (bookingcomsuperbowl) OR (bookingscom) OR (bookingyeah) OR (jakemcbrayer) OR (splurgingtinafey) OR (splurgytina) OR (tinafey) OR (tinafeyad) OR (wildtina),"tina fey ad, #bookings.com, booking.com superbowl, tinafey, tina fey, tina fey, booking.com, tina fey, wild tina, wildtina, booking.yeah, splurging tina fey, tina fey, jake mcbrayer, splurgy tina, glennclose, book who you wanna be, booking.yeah, booking.yeah, hopkins, rustic tina"
Bud Light,(budlightgenie) OR (easynightout) OR (easywishes) OR (genie) OR (georgekittle) OR (peytonmanning) OR (peytonmanningdrinksbudlight) OR (postmalone) OR (postmalonehosttrexparty) OR (thebudlightgenie) OR (traviskelce),"peyton manning, #easywishes, the bud light genie, bud light genie, genie, george kittle, peyton manning drinks bud light, post malone, easy night out, bud light genie, post malone host t-rex party, peyton manning, easywishes, travis kelce, budlight genie"
Budweiser,(budweiser) OR (clydesdalehorses) OR (clydesdales) OR (clydesdaleslabrador) OR (deliveringsince1876) OR (dog) OR (horsecarriage) OR (horses) OR (sweepstakes) OR (thebudsforyoucatchphrase) OR (theoldschoolway) OR (thisbudsforyou),"clydesdale horses, #clydesdales #labrador, deliveringsince1876, #deliveringsince1876, horses, horse carriage, #deliveringsince1876, budweiser, dog, #sweepstakes, clydesdales, the old school way, dog, â€œthe budâ€™s for youâ€ (catch phrase), #thisbudsforyou, delivering since 1876, delivering since 1876, #deliveringsince1876, old school delivery, bar, ken griffey, horse and dog, #clydesdales, clydesdale horse, labrador, fred dana, the budweiser clydesdales are back, lets do it the old school way, we are running low on bud, this budâ€™s for you"
CeraVe,(cerave) OR (ceraxcerave) OR (humanskinismypassion) OR (iamcerave) OR (michaelcera) OR (michaelceracerave) OR (michaelcerave) OR (notmichaelcera) OR (notmichealcera),"michael cera, not micheal cera, i am cerave, not michael cera, michael cera, michael cera, michael cerave, michael cerave, cerave, cerave, human skin is my passion, ceraxcerave, not michael cera, michael cerave, michael cera cerave, crossover, michael cera, michael cerave, let my cream hydrate you, moisturizing cream, moisturizer, notmichaelcera, michael cera ad, hydrate, moisturizer, michael cera, developed with micheal cerave"
Coors Light,(allaboutthechilltrain) OR (chilltrain) OR (choosechil) OR (choosechill) OR (coolexpress) OR (coorsad) OR (coorslight) OR (laineywilson) OR (llcoolj) OR (llcooljcoors) OR (patrickmahomes) OR (thereturnofthelightcoorstrain),"all about the chill train, choose chil, the return of the light coors train, llcoolj, llcoolj coors, cool express, ll cool j, chill train, coors light, chilltrain, coors ad, choose chill, lainey wilson, patrick mahomes, ll coolj, beertrain, coors train, train, all aboard the chill train, ice, chill train"
